n,k,difficulty,solved,cost,time
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,8,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,6,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,8,0.0
4,10,easy,True,6,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,6,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,2,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,10,easy,True,10,0.0
4,20,medium,True,16,0.0
4,20,medium,True,18,0.0
4,20,medium,True,20,0.01
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.01
4,20,medium,True,12,0.0
4,20,medium,True,18,0.0
4,20,medium,True,20,0.0
4,20,medium,True,14,0.0
4,20,medium,True,12,0.0
4,20,medium,True,18,0.0
4,20,medium,True,18,0.0
4,20,medium,True,20,0.01
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.01
4,20,medium,True,16,0.0
4,20,medium,True,18,0.0
4,20,medium,True,14,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,18,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,16,0.0
4,20,medium,True,20,0.0
4,20,medium,True,16,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,16,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,18,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,16,0.0
4,20,medium,True,16,0.0
4,20,medium,True,18,0.0
4,20,medium,True,16,0.0
4,20,medium,True,14,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,18,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,18,0.0
4,20,medium,True,20,0.0
4,20,medium,True,18,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.01
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,12,0.0
4,20,medium,True,20,0.0
4,20,medium,True,18,0.0
4,20,medium,True,16,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.01
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,18,0.0
4,20,medium,True,20,0.0
4,20,medium,True,18,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.01
4,20,medium,True,20,0.0
4,20,medium,True,18,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,18,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,18,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,20,0.0
4,20,medium,True,18,0.0
4,20,medium,True,20,0.0
4,20,medium,True,16,0.0
4,50,hard,True,34,0.55
4,50,hard,True,36,0.07
4,50,hard,True,38,10.33
4,50,hard,False,44,30.0
4,50,hard,True,40,8.87
4,50,hard,True,30,0.09
4,50,hard,True,32,0.73
4,50,hard,True,32,0.2
4,50,hard,True,40,5.25
4,50,hard,False,46,30.0
4,50,hard,True,40,1.47
4,50,hard,True,36,0.03
4,50,hard,True,20,0.0
4,50,hard,True,36,0.94
4,50,hard,True,44,10.46
4,50,hard,True,34,1.73
4,50,hard,True,42,3.53
4,50,hard,True,34,2.51
4,50,hard,True,38,1.42
4,50,hard,True,34,1.01
4,50,hard,True,40,5.77
4,50,hard,True,42,3.89
4,50,hard,True,40,9.83
4,50,hard,True,36,2.89
4,50,hard,True,30,0.12
4,50,hard,False,44,30.0
4,50,hard,True,30,0.22
4,50,hard,True,34,1.77
4,50,hard,True,36,1.27
4,50,hard,True,38,7.49
4,50,hard,True,38,10.52
4,50,hard,True,36,0.86
4,50,hard,True,36,8.84
4,50,hard,True,36,0.5
4,50,hard,True,36,0.73
4,50,hard,True,36,0.42
4,50,hard,True,34,1.56
4,50,hard,True,36,0.76
4,50,hard,False,42,30.0
4,50,hard,True,42,8.72
4,50,hard,True,34,0.82
4,50,hard,True,40,15.79
4,50,hard,True,36,0.1
4,50,hard,True,38,0.27
4,50,hard,True,38,2.48
4,50,hard,True,26,0.3
4,50,hard,False,44,30.0
4,50,hard,False,40,30.0
4,50,hard,True,34,1.22
4,50,hard,True,42,10.07
4,50,hard,True,40,3.33
4,50,hard,True,38,5.26
4,50,hard,True,32,0.18
4,50,hard,True,30,0.08
4,50,hard,True,30,0.04
4,50,hard,False,44,30.0
4,50,hard,True,38,1.23
4,50,hard,True,36,0.12
4,50,hard,True,34,0.4
4,50,hard,True,38,8.55
4,50,hard,True,36,3.29
4,50,hard,True,34,0.51
4,50,hard,True,44,7.39
4,50,hard,False,44,30.0
4,50,hard,True,40,2.32
