n,k,difficulty,solved,cost,time
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,8,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
7,10,easy,True,10,0.0
