n,k,difficulty,solved,cost,time
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,8,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,8,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
5,10,easy,True,10,0.0
