n,k,difficulty,solved,cost,time
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,8,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,8,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,8,0.0
6,10,easy,True,10,0.0
6,10,easy,True,8,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,4,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,10,easy,True,10,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,14,0.0
6,20,medium,True,20,0.0
6,20,medium,True,6,0.0
6,20,medium,True,18,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.01
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.01
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,12,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,18,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.01
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,16,0.0
6,20,medium,True,20,0.0
6,20,medium,True,18,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,18,0.0
6,20,medium,True,16,0.0
6,20,medium,True,20,0.0
6,20,medium,True,12,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,14,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,18,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.0
6,20,medium,True,20,0.01
6,20,medium,True,16,0.0
