n,k,difficulty,solved,cost,time
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,6,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,8,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,8,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,6,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,6,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,10,easy,True,10,0.0
3,20,medium,True,20,0.0
3,20,medium,True,14,0.0
3,20,medium,True,20,0.0
3,20,medium,True,20,0.0
3,20,medium,True,16,0.0
3,20,medium,True,20,0.0
3,20,medium,True,20,0.0
3,20,medium,True,18,0.0
3,20,medium,True,18,0.0
3,20,medium,True,16,0.0
3,20,medium,True,14,0.0
3,20,medium,True,16,0.0
3,20,medium,True,18,0.0
3,20,medium,True,16,0.0
3,20,medium,True,10,0.0
3,20,medium,True,20,0.0
3,20,medium,True,20,0.0
3,20,medium,True,16,0.0
3,20,medium,True,18,0.0
3,20,medium,True,18,0.0
3,20,medium,True,20,0.0
3,20,medium,True,20,0.0
3,20,medium,True,10,0.0
3,20,medium,True,20,0.01
3,20,medium,True,16,0.0
3,20,medium,True,18,0.0
3,20,medium,True,16,0.0
3,20,medium,True,16,0.0
3,20,medium,True,20,0.0
3,20,medium,True,20,0.0
3,20,medium,True,18,0.0
3,20,medium,True,18,0.0
3,20,medium,True,18,0.01
3,20,medium,True,20,0.01
3,20,medium,True,18,0.0
3,20,medium,True,20,0.0
3,20,medium,True,16,0.0
3,20,medium,True,20,0.0
3,20,medium,True,10,0.0
3,20,medium,True,20,0.0
3,20,medium,True,20,0.0
3,20,medium,True,14,0.0
3,20,medium,True,16,0.0
3,20,medium,True,20,0.0
3,20,medium,True,18,0.0
3,20,medium,True,18,0.0
3,20,medium,True,14,0.0
3,20,medium,True,18,0.0
3,20,medium,True,18,0.0
3,20,medium,True,8,0.0
3,20,medium,True,14,0.0
3,20,medium,True,20,0.0
3,20,medium,True,20,0.0
3,20,medium,True,16,0.0
3,20,medium,True,12,0.0
3,20,medium,True,20,0.0
3,20,medium,True,20,0.0
3,20,medium,True,16,0.0
3,20,medium,True,20,0.0
3,20,medium,True,20,0.0
3,20,medium,True,20,0.0
3,20,medium,True,16,0.0
3,20,medium,True,20,0.01
3,20,medium,True,18,0.0
3,20,medium,True,16,0.0
3,20,medium,True,18,0.0
3,20,medium,True,16,0.0
3,20,medium,True,16,0.0
3,20,medium,True,20,0.0
3,20,medium,True,18,0.0
3,20,medium,True,16,0.0
3,20,medium,True,20,0.0
3,20,medium,True,20,0.0
3,20,medium,True,18,0.0
3,20,medium,True,16,0.0
3,20,medium,True,18,0.0
3,20,medium,True,20,0.0
3,20,medium,True,14,0.0
3,20,medium,True,20,0.0
3,20,medium,True,12,0.0
3,20,medium,True,20,0.0
3,20,medium,True,16,0.0
3,20,medium,True,16,0.0
3,20,medium,True,20,0.0
3,20,medium,True,14,0.0
3,20,medium,True,20,0.0
3,20,medium,True,20,0.0
3,20,medium,True,20,0.0
3,20,medium,True,18,0.0
3,20,medium,True,20,0.0
3,20,medium,True,20,0.0
3,20,medium,True,8,0.0
3,20,medium,True,20,0.0
3,20,medium,True,20,0.0
3,20,medium,True,16,0.0
3,20,medium,True,20,0.0
3,20,medium,True,20,0.0
3,20,medium,True,20,0.01
3,20,medium,True,20,0.0
3,20,medium,True,14,0.0
3,50,hard,True,26,0.02
3,50,hard,True,16,0.0
3,50,hard,True,24,0.0
3,50,hard,True,28,0.09
3,50,hard,True,24,0.0
3,50,hard,True,18,0.0
3,50,hard,True,20,0.0
3,50,hard,True,24,0.01
3,50,hard,True,24,0.01
3,50,hard,True,22,0.0
3,50,hard,True,22,0.0
3,50,hard,True,24,0.02
3,50,hard,True,18,0.0
3,50,hard,True,24,0.0
3,50,hard,True,20,0.0
3,50,hard,True,20,0.0
3,50,hard,True,16,0.0
3,50,hard,True,18,0.0
3,50,hard,True,22,0.0
3,50,hard,True,24,0.01
3,50,hard,True,18,0.0
3,50,hard,True,22,0.0
3,50,hard,True,26,0.01
3,50,hard,True,20,0.0
3,50,hard,True,16,0.0
3,50,hard,True,18,0.0
3,50,hard,True,26,0.03
3,50,hard,True,20,0.01
3,50,hard,True,20,0.0
3,50,hard,True,20,0.0
3,50,hard,True,24,0.0
3,50,hard,True,22,0.0
3,50,hard,True,20,0.0
3,50,hard,True,20,0.0
3,50,hard,True,26,0.01
3,50,hard,True,24,0.0
3,50,hard,True,18,0.0
3,50,hard,True,14,0.0
3,50,hard,True,22,0.0
3,50,hard,True,28,0.15
3,50,hard,True,18,0.0
3,50,hard,True,24,0.01
3,50,hard,True,24,0.01
3,50,hard,True,20,0.0
3,50,hard,True,26,0.01
3,50,hard,True,10,0.0
3,50,hard,True,16,0.0
3,50,hard,True,18,0.0
3,50,hard,True,26,0.02
3,50,hard,True,16,0.0
3,50,hard,True,20,0.0
3,50,hard,True,22,0.0
3,50,hard,True,22,0.0
3,50,hard,True,18,0.0
3,50,hard,True,26,0.03
3,50,hard,True,22,0.01
3,50,hard,True,26,0.02
3,50,hard,True,24,0.01
3,50,hard,True,20,0.0
3,50,hard,True,24,0.03
3,50,hard,True,26,0.02
3,50,hard,True,16,0.0
3,50,hard,True,24,0.01
3,50,hard,True,22,0.0
3,50,hard,True,20,0.0
3,50,hard,True,20,0.0
3,50,hard,True,22,0.01
3,50,hard,True,20,0.0
3,50,hard,True,20,0.01
3,50,hard,True,20,0.0
3,50,hard,True,20,0.0
3,50,hard,True,26,0.01
3,50,hard,True,26,0.05
3,50,hard,True,16,0.0
3,50,hard,True,14,0.0
3,50,hard,True,22,0.01
3,50,hard,True,20,0.0
3,50,hard,True,26,0.04
3,50,hard,True,24,0.0
3,50,hard,True,24,0.01
3,50,hard,True,16,0.0
3,50,hard,True,26,0.07
3,50,hard,True,24,0.0
3,50,hard,True,20,0.0
3,50,hard,True,22,0.0
3,50,hard,True,22,0.01
3,50,hard,True,26,0.0
3,50,hard,True,24,0.0
3,50,hard,True,22,0.01
3,50,hard,True,22,0.0
3,50,hard,True,20,0.0
3,50,hard,True,26,0.03
3,50,hard,True,18,0.0
3,50,hard,True,26,0.01
3,50,hard,True,22,0.0
3,50,hard,True,22,0.0
3,50,hard,True,24,0.05
3,50,hard,True,22,0.01
3,50,hard,True,24,0.03
3,50,hard,True,22,0.01
